interpreter scholar;artist
peeper sleuth;reporter
valve pipe;faucet
taylors tals;talus
emptied exhaust;drain
40kms 9 mms;gms
worker employee;trader
frankencreatures 
zoologists environmentalist;conservationist
knappertsbusch 
coke sugar;crack
partnered collaborate;help
byrl beryl;burly
feedin feed on;deeding
gorge ravine;canyon
winters cold;frost
team's tams;terms
dicillo disallow;dis allow
street's street;streetest
bogie imp;goblin
corn platitude;plate
south near;port
heels' hales;holes
'technician' technicians;artisan
inspirado in spired;in-spired
epeisodio episodic;episodes
licenses charter;right
kabluey cable;gable
bleak's bleakest;breaks
verify find out;authenticate
2gether ether;nether
countryâs country inns;country inn
pixar's pixies;poxes
defectiveness flaw;weakness
spierigs spurrings;superegos
phyffe puffer;huff
grazzano razzing;garrison
vedgetables vegetable;vendibles
morbis obis;orbs
micah mocha;mag
'classified' classifieds;classifies
silk thread;fiber
parlance patois;argot
hábil habit;bail
pheasants fowl;duck
stripbar stripe;strip
incontrolable un controllable;un-controllable
nailpolish 
dickman stockman;deskman
chaplinesque shapeliness;style
itâ´s oats;eats
ocorrem cream;crime
dished lift;lade
shebang bevy;group
antwones un twines;un-twines
reflex automatic;habitual
enigmaticâ enigmatical;ambiguous
'larry leery;alary
segal's sepals;sigils
wolly woolly;will
perdió peed;period
subjects' subject;subjects to
lauterbach laid back;laid-back
schotland scuttled;scuttling
jordã  coda;cord
tressa's dresses;trespass
mastana mustang;satan
keefe kerf;kef
choral chant;paean
monaksia minks;monish
fluffily fluffy;fluffing
analystic analyst;analeptic
stuckart stuck out;stockade
kesselman's solemnness;gas lamps
belvaux' bolix;selvages
simplification interpretation;resolution
sensitives sensitively;sensitize
'sort sot;soot
narasimhan 
widowed only;unattended
mystical esoteric;magical
assure satisfy;encourage
mcgreggor's muckrakers;muckrakes
smug complacent;egotistical
boots footwear;oxford
toklas colas;douglas
'ooth booth;tooth
faceful fateful;fanciful
balduin build in;blain
zwarts swards;swarths
nuances hint;subtlety
tonarino tontine;toning
speeders spiders;spenders
ahamad ahead;am mad
fictionalizations 
soak bathe;moisten
emocionante eminent;assonant
sake well-being;account
shareholder investor;bondholder
enlargements growth;augmentation
bachstage burn stake;by mistake
goldbeg golddug;old bag
franschise franchiser;franchisers
concubine mistress;courtesan
kátia gaia;asia
facades front;color
jabba's jbars;j bars
afer fer;afar
sooooooooooooooooo sopor;spoor
bernds benets;bend
comunista communists;columnist
chushingura chicanery;visionary
ovas ova;vas
meatmen mermen;madman
`there's three r's;throes
bizarrely strangely;unusually
grimms' grimmest;grams
initials stamp;brand
chong chink;thong
hacks' hajs;hack
sonny's sonny;sonsy
greyishness coyishness;greyish
hands' hand;hands in
astonishing startling;breathtaking
elephant pachyderm;mammoth
kilograms cloakrooms;armoire
rehashing restate;reiterate
airwolf shewolf;wolf
viru virtu;biri
politico politick;politics
'central' centrally;centrals
illuminated' illuminate;eliminated
unavoidable obligatory;necessary
breathy throaty;harsh
quais quasi-;qas
deterioration decline;devaluation
levitated fly;rise
ciafarlio folio;charily
consular diplomatic;valid
wen sac;sore
brontes brunets;bronzes
unspoiled pristine;untouched
clippings part;cutting
creak squeak;screech
tormei dormer;time
suicides hara-kiri;self-destruction
killfest lifest;gallest
rebound pick up;overcome
highways roadway;boulevard
reveal confess;acknowledge
disproportional awry;crooked
ajouter juter;outer
sever detach;disconnect
luxuries richness;enjoyment
irresolvable baffling;difficult
absurdest bustest;bustiest
kant cant;kent
shadowed dim;obscure
forebearance perseverance;strength
gundam gendarme;condom
sensing notice;feel
impotence infertility;barrenness
expunged wipe out;annul
postings account;memo
smuggler's smuggle;hide
feelingâit feeling;feelingly
omnipresent pervasive;infinite
beauregard regard;be read
erykah era;rajah
agrument accrument;agreement
stuarts startsy;stats
completists 
rilly rally;rille
ashok shock;shook
blights mildew;decay
htizei hits;hates
senate council;society
kiva ova;java
vds venereal disease;acquired immune deficiency syndrome
conner coiner;corner
liebster lobsters;luster
tatumis teatimes;totems
dvda diva;dead
`circus' circums;cirques
swordplay swordsmanship;foil work
model3 motel;models
'wheel wheal;wheels
securityguard security guards;escort
intstoryid un destroyed;un-destroyed
counterintelligence 
simmon's summings;summoners
late4 later;latter
muffing flub;fumble
tertiary triennial;tertian
scereen screen;serin
unadaptable uncompromising;intractable
agi ag;agin
militia soldiers;reserves
astronomical enormous;tremendous
boriqua boutique;brig
engels angles;ingles
ridiculosity ridiculoused;ridiculousing
repayment reimbursement;compensation
'adult adulate;adults
tr botheration;box
har fearlessness;courageousness
'cheesy' cheese;cheers
shur shul;shun
pig' pigs;p.i.
actually's actually;actualize
rossellini riesling;resiling
infos intelligence;information
drawbacks fault;flaw
ágil argil;ail
gattis gates;gratis
cohabitant beneficiary;companion
theorist logician;sage
tech' teach;teachy
adminsitrative administrate;administrator
forfend hinder;prevent
tulane lane;tune
koltai's koalas;gilts
kwon ken;kin
maximilian maximal;marksman
rubes bumpkin;clodhopper
borei borer;biri
única ionic;inc
criminalities case;lawlessness
insignificance paltriness;triviality
l'art late;lardy
entrance hallway;porch
adrift afloat;loose
libbing fibbing;jibbing
bonkersâ bonks;zonkers
doäan darn;dawn
wittle wattle;wittily
apparantely apparent;approvedly
announcers' announce;disclose
paquerette parquet;parquetry
wheezer whizer;geezer
levant leanto;learnt
montaged montage;mintages
inauthentic un authentic;un-authentic
mcconnahay mackinaw;make hay
phalanxes throng;horde
terrif tariff;terrific
maã¯ga mage;magi
'abbot' a bit;abort
zebrahead seborrhea;sorehead
deviance deviation;unnaturalness
prisoners' prisoner;hostage
misirable miserably;measurable
cruncher crunchy;crusher
container kettle;jar
kimball kabala;kibble
slashings lashings;slashing
phoenix' phoenixes;phonic
grinders hoagie;sub
groped flounder;search
savory's savorous;savory
warnning warning;waning
ga gay;ag
loops coil;curve
vulgarthe vulgar;vulgarly
oxide base metal;native metal
alaskans lasagnas;askance
chumminess nearness;companionship
devoloper developers;develop
regulating control;readjust
cartoons sketch;caricature
praed's pirates;pards
fear' far;fer
oblate horizontal;unbroken
georg gig;goer
rutget rugged;rutted
unshakeable unshakeably;un shakable
gelman glean;gleemen
gateau bateau;gateway
felipe feline;flipper
`vegas' veejays;virgos
'on' eon;one
durbridge abridge;drudge
swayzie sway;smazier
ridged jagged;corrugated
erupting detonate;blow up
enteprise enterprises;entries
alpert malapert;alter
flambeur lamber;flambeaus
arngrim angrier;angries
lette let;latter
baron's baroness;barongs
caltiki calico;culti
programa programs;programmer
persbrandt 
pneumonia pneuma;nomina
lff ld;leaf
lauro loury;kairo
potential likely;hidden
take booty;cut
plagiarizing paraphrase;appropriate
ashley's ashes;aisles
christies choristers;christen
clarke's cleeks;clickers
dorogah drag;drogher
cheeche churchy;cheese
mottola's moolahs;motleys
arundel trundle;rindle
nominations selection;designation
metralhadora 
decoy blind;plant
barnils biennials;barnlots
clearer sunny;fair
feresten's frostiness;fastens
drowsiness laziness;apathy
calparsoro calipers;jalaps
osment's ornaments;amends
bajos bathos;books
shaloub's slubs;shallows
crusoe crus;cruiser
excessif excessing;excess
assemblies gathering;crowd
boinking bunking;banking
youngman young men;sweetheart
chema chime;charm
lackadaiscal lackadaisically;lexical
unfooled unfilled;unfurled
quaver shudder;quiver
coombs' combos;combers
fantasising fantasying;fantasies
mouthpiece spokeswoman;agent
spinsterish 
efibiko e book;e-book
ebb wane;sweep
overstating overdo;magnify
chautard cheated;chard
assembly gathering;crowd
carnadas canastas;cantatas
unsupervised individually;separately
thinggg think;thinking
kna's knaps;knows
inflation hike;rise
kavanagh havana;caving
eboshi abash;bash
emsworth a years worth;a year's worth
radicals profound;primitive
bend bending;sag
anecdotal unreliable;unscientific
pitched lob;sling
sandra sandbar;sander
koslack clack;slick
deathsport de spot;de-spot
unproductively badly;carelessly
protectively protective;protective wall
victims martyr;fatality
piques annoyance;displeasure
agressor aggress;egress
donati donator;dont
unsymphatetic 
mailroom made room;make room
overpowers knock out;drub
whitening bleach;blanch
humanise humans;humanism
forte strength;talent
d'ailes doilies;doolies
andy any;undy
scab layer;surface
catalyze assemble;organize
trifle toy;triviality
casualty blow;calamity
zouganelis gainless;signalize
outrages shock;violence
wv v;av
mental subjective;spiritual
hurriedly vigorously;nimbly
fella's fellows;fleas
tsk tusk;ts
uninsistent inconsistent;in consistent
materialism utilitarianism;pragmatism
selim's salamis;semis
tibaldi's tabards;diablos
coulter courter;counter
discomfiture undoing;humiliation
hahahahahahaha 
joemantegna comminating;comment on
2x4 4x4s;13s
hallelujah chant;paean
salvator salvager;salvo
interesing interring;interfusing
mizoguchi misguide;mismatch
danda dander;darned
`our four;hour
cheerily willingly;warmly
mittens muff;gauntlet
'ready read;reedy
becca mecca;beak
trashier sleazy;tawdry
seeped permeate;drain
oneliners witticism;joke
offsuit off side;offs
peggy's piggies;eggs
fornicative fricative;click
rumble roar;resound
sajer sagger;sage
ikwtcbs ax jobs;aquatics
pooches puppy;cur
surburb suburbia;burb
ccafs cfos;cvs
'magnavolt' wagon vault;convolute
sternly passionately;sincerely
attending attendant;ministering
tournaments fight;contest
hoyt's hits;huts
robinhood robin hoods;Santa Claus
regaling amuse;entertain
agostini ghosting;augustan
tenberken de-barking;turn back on
unforgettably un forgettable;un-forgettable
goudurix corduroys;couturiers
bleary cloudy;dim
picturesscott 
honei honey;heinie
roddam's roms;rodman
lagoonish lagoon;longish
dullard's dollars;currency
newmann new moon;newsmen
sujeitarem sanitarium;stream
''make maker;mage
cheeesy cheese;cheers
frawley ferally;frail
scarywhy scary;scrawny
lucasta' locust;lucky star
assists service;backing
caio coo;ca
guys'll guys;buy sell
kearney carny;learner
sen's sense;scenes
lister list;blister
marm dame;madame
caterwauling bicker;wail
despotism tyranny;authoritarianism
absentminded abstracted;daydreaming
chestnut's chestnut;sketch
bogarts exclude;possess
atmosphoere atmospheric;aerial
kirstey keester;corset
euphemism grandiloquence;circumlocution
ormondroyd end road;monitored
burn' bourn;bun
acclaiming kudos;applause
snyapses sunspaces;synopsize
peralta pre late;pre-late
sidescroller most squirrelly;insane
stinkaroos stinks;tinkerers
senar sonar;senary
sv vs;s
usp ups;sup
samaritanism samaritan;do-gooder
acronym phrase;cipher
rockin ricking;racking
marshaled assemble;mobilize
anything's anything;inthings
mastermind's 
dogpaddling bathe;glide
suites apartment;rental
wendie vendee;vendor
terrarium terrorize;tearoom
disingenious dis ingenuous;dis-ingenuous
authorised authored;authorizes
adriano drain;daring
papamichael papier maches;pepper mill
untergang undergoing;undergone
ties' dies;tors
gothamites comates;comities
emi's emss;amirs
teeth fangs;denture
are' area;acre
ghibli glibly;chabli
impunity immunity;exception
campiness dampness;campaigns
rearise raise;reais
tily tile;till
hells nightmare;purgatory
superbox superb;saucebox
marni main;mania
innes ones;inned
holden's goldens;hoidens
fugitive' fictive;furtive
sleeved sleeted;solved
municipalians mainsprings;heart
tecnically tyrannically;demoniacally
palo palp;pale
zeitgeust disgust;stagiest
pickle box;predicament
stupidgencia 
hollow' hallow;holler
outer exterior;outlying
sita sida;site
slowing decelerate;hinder
russ ruses;uss
resumes abstract;biography
detaching dissociate;disassemble
timey timer;tome
incongruous bizarre;inappropriate
invited urge;draw
5jake cake;joke
senin serin;venin
benign benevolent;gentle
shuck shed;shell
talmudic telestic;lame duck
pav pac;pa
struths a truths;accomplished fact
ratos ratios;riots
rendez render;rend
starfix suffix;subfix
kusanagi's gasbags;cussings
phenoms specialist;pro
hottub hot up;hob
clamouring clamming;claiming
'scent cent;sent
level' levelly;levels
cleanliness freshness;purity
saudia sida;stadia
stigwood stowed;staged
matei mater;matey
saner levelheaded;sensible
estranges divorce;alienate
inheritors heir;recipient
zach's machos;rachis
'stellar steller;stellary
`enemy' enema;needle
alphaville upheaval;alveoli
watching7 witching;watchings
rotoscope rediscover;rods up
prisoned confine;sentence
droves throng;horde
paleyei parleyed;payee
rawiri wire;wiry
blockbustered 
baronet aristocrat;patrician
larn lan;lain
trousdale trundle;trestle
minchen marchen;munch
wooeuvre whoever;whoevers
deponent attester;testifier
catástrofe gat astride;catastrophal
pinciotti pinot;pinots
retains preserve;enjoy
maroney mariner;maroon
cherishing preserve;love
bingel' binge;bingles
szubanski 
sobrenatural supra natural;supra-natural
viewer watcher;observer
favreau's favelas;faves
fowler fowl;feeler
tichon torching;touching
juliette's culottes;juliet
heeled obey;attend
criaram crura;cram
beatlemania bellman;boatman
unoffensive controllable;gentle
gorey gory;grey
hicksville blah;dead
voorhees' wooers;tehees
overacting melodramatic;theatrical
flowerchild flashlight;flower child
cardiologist dialogist;geologist
resonance fullness;vibration
spry energetic;agile
prot pot;pro
marvelously unusually;magically
lembrar limber;lumber
these' theser;those
manchurian anchoring;moan groan
matz's marts;master's
bashung bushing;was hung
magníficas magnific;magnifico
geist gist;goest
greatly incredibly;largely
academician lecturer;professor
unhidden uncovered;discovered
ghungroo kangaroo;hungry
naudets nudes;naughts
galifianakis gallivanters;galvanize
beduin beguin;beading
unify consolidate;merge
colorist gloriest;colorcast
badlythe blethe;blithe
doodled trifle;draw
debuting break;debut
chirila charily;cheerily
erwin owing;win
quality kind;nature
populaces commonality;proletariat
gitaã¯ goat;gat
kendrew endure;gender
terrice trice;truce
couplings mixture;combination
bag's bigs;bugs
hatted heated;hatred
reconfigured rearrange;recompose
dazzlingly splendidly;brilliantly
softporn soft porns;soft on
blips glitch;tap
pantless pointless;panatelas
reproaches disgrace;rebuke
groomsmen bridesman;groomsman
severin serin;seven
complexidade complexities;complexity
aristidis aristarchs;aristate
guidance direction;management
whaaaaa way;who
zayed nayed;yayed
ryunosuke ransack;romanesque
immanently naturally;genetically
hedeonism hedonist;hellenism
craftsmanlike crafts;technique
'anonymous' antonymous;anonyms
shedding dropping;exfoliating
someday' somata;comedy
'bonnie bone;bunnier
pomeii poem;poma
wannabee's wannabe;wanness
days light;daylight
loretto lotto;libretti
landis' ladies';lanais
celuloide cellulite;celluloids
braced ready;gird
rifs rfs;rdfs
irlandês air lanes;andes
focusâ focuses;focused
almodóvar alamedas;loomed over
magruder grader;magister
clouseau' clause;closer
prejudicm prejudging;pre judging
lição lick;laic
benefitsof benefits by;bona fideses
memorize recall;retain
barnum barm;barn
crows squawk;boast
4the ther;thew
yoji yoke;mojo
kellogs jealous;collogues
mackinnon mackinaws;marching on
yechh yea high;yahoo
pym p m;gym
inviolable sacrosanct;holy
conspicuous discernible;noticeable
painkiller's painkiller;pain killer
gavron grin;groan
shiztz shoats;shorts
tinies tineas;tiniest
skat slat;sat
annually every year;each year
viewings observation;scrutiny
crossover's crossfires;crosses over
slatting slotting;salting
type' tape;typo
indoctrinating inculcate;instill
vela veil;membrane
moreinterested more intrusted;more entrusted
galles' goalless;gallest
a'vuchella archival;uphill
omnislash am ones lot;am one's lot
tooney tony;tourney
corbijn carbon;cobbing
minghella mineral;going hell
wotw wit;wore
furthermore moreover;additionally
orgulhar oculars;ogler
villard collard;villa
ostvarenje most phrenic;out of range
puppeteers puppetries;pipettes
gate' gat;garter
whizzery whizzed;whizzes
molasses antidote;syrup
loder lode;lieder
nomatter natter;smatter
infant newborn;toddler
wise's wise ass;wise-ass
chereau's cherries;chores
''tasteful'' tastefully;wasteful
ibsen bison;absent
sarge surge;sag
adle dale;ale
gourd beaker;jug
yelchin's filchings;mulchings
garlic colic;flic
noticing seeing;regarding
thhe them;then
stepsisters father;sibling
erroneous untrue;inaccurate
apprarently 
abound proliferate;flourish
objected balk;protest
phsycotic fastigia;fuzz cut
imaginable plausible;sensible
negulesco's 
mahima maim;mama
niros nares;biris
anslinger enisling;ink slinger
striated smear;spot
nicolle niggle;nacelle
mojave'o'meter make meet;makes a meet
repetoir repeater;raptor
camarary camera;camera eye
inquisitive analytical;nosy
macdonaldsland 
shunya shuns;shunt
digisoft digs for;digs at
polidori polders;politic
forwarding promote;uphold
relentless unrelenting;uncompromising
acapulco a couple;a cappella
shell's shills;shell
pliant supple;malleable
update restore;amend
quailty quilt;guilty
tasteful beautiful;subdued
lewbert lowbred;lubed
terrio trio;terra
recidivism relapse;backsliding
fireplace stove;furnace
unproveable unprofitable;un profitable
'wait wit;wart
lilliput lollop;gallipot
atridgemont attirement;enragement
timless tameless;termless
imre ire;in re
landscaped plow;reap
porton puton;potting
pukefest pokest;peggest
chiswick chinwag;casework
potatoes spud;tuber
tuning accommodate;adapt
lollie lolled;lolling
strokes blow;hit
protoy pretty;parity
rootbeer rioter;rooters
assista assists;assest
hayter hauteur;heater
thieves' thieve;thrives
garlanded illuminated;wrought
mimouni's minis;kimonos
herne herniae;heinie
finitely finely;finite
semaphoric semaphore;semaphored
quieted reticent;soft
taxonomists takes in the sights;stare
unflinching uncompromising;gritty
boober boob;booner
aksiomnimoneyti 
pallance alliance;palace
animistic animalistic;atomistic
bore' borer;bare
windom wisdom;winsome
aboriginal primitive;ancient
niflheim 
methuselah thusly;mussel
geek weirdo;freak
quizmaster inspector;auditor
roddick dick;piddock
affter effete;aft
tye tyke;type
sturdiness resoluteness;perseverance
ayala ayahs;ayah
rent tariff;rental
tackily tacky;trickily
overracting overacting;over acting
ivanek's avenues;oinks
craddle griddle;coddle
verdon verdant;cordon
you' lou;yon
massuh mass;masser
criticised criticize;criticism
jersild's results;corselets
baseada biased;bsed
stroup strip;stir up
moff off;muff
payne's panners;patness
kaiser's gassers;cases
omaggio image;magi
italiens aliens;outlines
kershner kosher;shiner
reidelsheimer 
ecgtb ejecta;ejectas
personalize illustrate;incorporate
berko beak;beck
skittish jumpy;giddy
gulfs sound;harbor
marshalled assemble;mobilize
krisitn pristine;cresting
hammered knock;pound
nd nod;md
dingos doings;dingers
loots spoils;booty
tête tote;cete
carlito's calicos;caritas
suckerby sick bay;sick-bay
hertzog heartsick;heartsore
luma's lames;loams
rita rota;ria
burqas burkes;bursa
gulch's quelches;demolish
mayalls mammals;males
wisecracking fun;humor
wolrd wiled;wild
permitting lenient;permissive
defesa defuse;defiers
'me m o;meg
bana banal;baa
keeps preserve;control
counselors advocate;instructor
scandinavian skin-diving;deep-sea diving
lamberto lambed;lambent
berriault's rialtos;graults
blunden bounden;blinding
turbaned turned;turbines
warzone war-zone;was on
detatched debauched;de taches
ellis' els;allies
hatke take;hark
beat' beta;be at
fridges bridges;fringes
yau yaw;yak
passes cut;ravine
hellish infernal;terrible
teamwork synergy;unity
peeters peelers;peepers
grandmoffromero 
remarrying remedying;re
strombel stumble;tremble
scherer schemer;scourer
sexcapades sex acts;sex pots
puchase purchaser;purchased
tundra wasteland;prairie
sutures stitch;joint
vieweing viewings;viseing
calista ballista;calls to
helsing's holdings;hosings
odoriferous fragrant;spicy
westward westerly;facing west
agribusiness agreeableness;are business
lemoine's emoneys;limings
kite jet;aircraft
gruellingly grueling;grovelingly
bulldog tabloid;journal
boardman boatmen;bondman
mooradian's moraines;mondains
reeves's reefers;reverse
minimised minimize;minused
customary traditional;accepted
brandishes flash;wield
commentaries comment;criticism
biograph's biography;biographer
sitr site;sit
lamposts campsites;imposters
enlist appoint;hire
vishwatama watchworded;watchwording
diferenciá differentiae;differential
acceptance acknowledgment;consent
desconcertantes dis contents;dis-contents
maddern maiden;midden
henchman help;helper
erye eye;rye
gassac gassy;gasbag
alcantara elementary;elegant
beaut vision;looker
endemic local;regional
kept stored;put up
swaze swale;sleaze
bourgeoisie's bourgeoisie;league
benicio bens;menisci
whyâi wadi;wham
incarnation's in-carnations;incarnation
ppk poke;poky
fish troll;trawl
discretionary unrestricted;elective
capitalism's 
madiba madonna;maid
parkhouse dark horse;dark-horse
tarantinoid transcend;transient
cox coz;co
numã©robis nimbus;numerators
morticians funeral director;embalmer
gays' gs.;g's.
tetsurã´'s torturous;desires
imploys implies;imply
567 .25;180
asylumâis salamis;alums
dreaded apprehend;tremble
immortalize commemorate;deify
peaks mountain;pinnacle
mahler male;muler
oitentista teentiest;attends to
shlock shock;schlocky
scrwball scribal;scrabble
uccide oxide;accused
sportin spotting;spouting
margret garret;market
porkys porkers;porkies
slovenia slovens;slovenly
barabbas brans;brains
lousing botch;flub
blight mildew;decay
railroads railway;subway
monolith stone;column
bessy's bosses;bses
toucan token;tocsin
lonliness lowliness;lordliness
mamma's mammals;maams
buzzards buzzwords;gizzards
orgasms ejaculation;frenzy
timed careful;restrained
murdstone's mustiness;madstone
rockwood rosewood;rocked
velvet nap;pile
idiotas idiot;idioms
schtick scene;show
rankers ranks;tankers
diahann dishing;do again
compulsory forced;mandatory
entacted enacted;execute
nyaako kayak;yank
abdalla abuttal;at all
idioms patois;dialect
realizations recognition;awareness
dickson's duckpins;dickenses
elfin delicate;devilish
undershirt corset;lingerie
preposterous insane;unbelievable
spoleto spilt;spoilt
sags sinking;droop
ramsey's re mises;re-mises
planetbollywood 
cautionary admonishing;admonitory
quoi quoit;quip
unmakeable unamiable;unshakable
daur daub;day
crooklyn cockling;croaking
masterbrain most bearing;master mariner
sant's saints;sands
wiling beguile;bewitch
terri terror;tree
'shhot shoot;shit
chalked tint;illuminate
scrutinizing inspect;consider
stopes stirpes;steps
sontag's songs;stags
whenyou weeny;whiny
absudity assiduity;acidity
ofrecernos freezings;offerings
ridiculed taunt;scoff
shies dodge;avert
homed honed;hammed
d'honnêteté de noted;de-noted
okayish fogyish;ogreish
hubschmid 
ultraboring ultra marine;ultra-marine
voluminous ample;comprehensive
madonna's madonna;Virgin Mary
mariner's marines;mariner
karamchand cremation;criminate
vomitous comities;vomit
miticlorians 
colassal coleslaw;class
juniorfied juniority;minified
envisions anticipate;behold
reid rid;redid
âvery avert;aery
banker's bonkers;banker
constellations prospect;circumstance
nz n;ns
captor imprisoner;incarcerator
deviants anomaly;alteration
disenfranchised ineffectual;impotent
rubble debris;fill
aggrandizement ennoblement;tribute
milliardo mulled;mikado
sightly admirable;alluring
mongrel bastard;mixture
kleinhall cleanly;clientele
cavorts fool around;gambol
apr'45 apron;ape
sitch's bitches;witches
epic's epic;pics
crore crone;frore
carla call;cola
membersâ member;embers
corralled pen;confine
editor proofreader;copyreader
land estate;soil
missão missy;moss
cavalryman jockey;equestrian
popwell pop fly;pop-fly
oik oink;oil
plagiarized paraphrase;appropriate
frikkin frocking;freaking
doob boob;doom
fahey fey;hey
physicalities carnality;hedonism
overtures signal;proposition
thao that;to
destruir de stroy;de-stroy
burdened loaded;taxed
onway's one ways;one-ways
richard orchard;chard
selfindulgent hedonistic;decadent
sustainability most inbuilt;most in built
ril rile;rill
creeps'll crepes;creepest
razbin razzing;racing
leila's levi's;leas
allâsubtitles 
browner fawn;ginger
losses debt;disaster
gillies festival;spectacle
depende de pend;de-pend
salka silk;sulk
momonoke mininuke;monkey
mmhm mom;mum
arroway's airways;arras
philidelphia floodlit;filed for
bionic godlike;extraordinary
süskind sustained;skinned
lyduschka loudspeaker;lets hook
erics ethics;recs
jascha jahs;jas
lv2 l's;lc
comers rising star;up-and-comer
'photogasms' futurisms;faddisms
tutazema totem;toxaemia
tommorow tommyrot;tomorrows
athmospherique 
tzak task;tack
conceits arrogance;narcissism
atm cash machine;automatic teller machine
moonchild moonlit;monarchial
hhh haha;hhv4
particularity peculiarity;idiosyncrasy
punch's punch;punchest
niggles cavil;moan
guild' gild;guilt
roshambo rhumba;chamber
estelares astrals;astral
pocketful forgetful;plateful
entertainement internment;entitlement
yrigoyens regions;rigidness
adapter connection;clamp
stomp' stamp;stump
accomidations accommodation;oxidations
'subversive' subversives;Trojan horse
transferrence transferrings;transferring
compulsions coercion;obsession
folders pocket;binder
boys'' boas;boss
crapthis crips;crops
unwinds loosen;unravel
forster's foresters;firsts
gonzález gonzos;concealed
crazy' craze;crazer
embarassed embraced;embarrass
coot coopt;coo
kummi gimmie;jimmy
dodes'ka dotes on;dudes up
affleckcons overlookings;delinquency
â¤ a t;a z
'chuck' chick;check
diversity diversification;unlikeness
meirrelles miracles;ferrules
ruralism realism;rurals
'kill' killer;gill
shivery aquiver;quaky
'ascends' ascend;abscinds
ikanopoiisei in piece;canapes
perspectiva perspectives;respective
snailsâ smails;salsa
telecast transmission;program
kholi khaki;hole
flushed embarrassed;rosy
drury dry;dairy
irã ria;irs
leathermen laddermen;leather
'distinct a distinct;discinct
loewe lowed;lore
tempests windstorm;tornado
tuo duo;too
headmasters superintendent;principal
earmarks hallmark;stamp
interruptions' interruptings;incorruptions
nattily natty;natal
'nightbreed' knight road;numbered
hit'n'miss hit and miss;hit miss
'inch cinch;pinch
helena's healings;hennas
shiri shore;shirk
shotting shooting;shouting
rawhide cane;bat
vetted consider;scan
shelton shielding;sheeting
nekhron's incoherence;in coherence
ill woozy;diseased
shill colleague;plant
ladki hadji;ladle
apopeira popery;papery
demolitionist 
vaudevile devil;bedevil
smelling breathe;inhale
yashere hashery;yachter
subways underground;tube
twangle wangle;twinkle
mockumentaries make amends;atone
starrting starting;strutting
remakers re makes;re-makes
wellingtonian went on on;falling down on
esteem venerate;revere
arrebatadora 
purr sound;sing
satana satin;satiny
completest completed;complete
priuses praises;prissies
haattte hater;heater
athon thin;thorn
hague huge;hag
stifling muggy;humid
inflammatory incendiary;intemperate
pentalepto pendulant;pendulated
ceylan elan;ceiling
davitz divots;duvets
hector's lectors;sectors
gergely gurgle;googly
footholds perch;niche
'discoveries' discoverers;dis coverers
collectivist collectivity;collectives
astor as to;assort
logre lore;ogre
pfink pink;plink
fib prevarication;story
'breathtakingly 
posiedan poised;posited
'musketeers musketeer;fighter
mantis' mantuas;manis
savala's savannahs;savorless
retto ret;redo
wahee washer;whew
twentysomething 
undersea immersed;sunken
smallish diminutive;cramped
henstridge hysteric;be on strike
mcmillan magdalen;more milling
eternally perpetually;forever
winnowing stir;fan
kqed oked;sked
sanctity faith;righteousness
pounded pummel;wallop
filip flip;flop
